date,cases (Nowcast RKI),min cases (Nowcast RKI),max cases (Nowcast RKI),7 day R value (Nowcast RKI),min 7 day R value (Nowcast RKI),max 7 day R value (Nowcast RKI),cases (mean of ±3 days of Nowcast RKI),R value calculated with cases (mean of ±3 days of Nowcast RKI),Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),min Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),max Infections (based on 7 day nowcast of RKI - 5 days regarding incubation period),"7 day R value (Nowcast RKI, -5 days incubation period)","min 7 day R value (Nowcast RKI, -5 days incubation period)","max 7 day R value (Nowcast RKI, -5 days incubation period)",Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value by Infections (mean of ±3 days based on 7 day nowcast of RKI - 5 days regarding incubation period),R value calculated with cases (mean of ±3 days of Nowcast RKI) -> minus 4 days,R value by Infections minus 4 days
2020-10-10,5145.0,5057.0,5232.0,1.29,1.28,1.3,5321.142857142857,1.3236134766351482,8121.0,8005.0,8239.0,1.38,1.37,1.39,7867.0,1.355987010295032,1.3406151320411468,1.405137272486395
2020-10-11,5292.0,5197.0,5375.0,1.3,1.29,1.3,5728.428571428572,1.3132797967424348,8636.0,8508.0,8757.0,1.37,1.36,1.38,8563.857142857143,1.3687899932473715,1.355987010295032,1.4138460815636156
2020-10-12,5922.0,5823.0,6006.0,1.31,1.3,1.32,6194.142857142857,1.314312520602828,9011.0,8876.0,9139.0,1.38,1.37,1.38,9360.142857142857,1.379861048990667,1.3687899932473715,1.4125645037211194
2020-10-13,6541.0,6433.0,6630.0,1.34,1.33,1.35,6711.285714285715,1.3250179766580008,9516.0,9386.0,9650.0,1.4,1.39,1.41,10260.42857142857,1.3920852594300595,1.379861048990667,1.3962196861626248
2020-10-14,7322.0,7203.0,7428.0,1.37,1.35,1.37,7263.571428571428,1.3406151320411468,10800.0,10655.0,10941.0,1.42,1.41,1.43,11210.0,1.405137272486395,1.3920852594300595,1.3666181947410982
2020-10-15,8121.0,8005.0,8239.0,1.38,1.37,1.39,7867.0,1.355987010295032,12115.0,11963.0,12259.0,1.44,1.44,1.45,12158.42857142857,1.4138460815636156,1.405137272486395,1.3282666994546777
2020-10-16,8636.0,8508.0,8757.0,1.37,1.36,1.38,8563.857142857143,1.3687899932473715,13624.0,13464.0,13780.0,1.43,1.42,1.44,13062.857142857143,1.4125645037211194,1.4138460815636156,1.2863646654958665
2020-10-17,9011.0,8876.0,9139.0,1.38,1.37,1.38,9360.142857142857,1.379861048990667,14768.0,14596.0,14921.0,1.39,1.38,1.4,13904.42857142857,1.3962196861626248,1.4125645037211194,1.2449013764722576
2020-10-18,9516.0,9386.0,9650.0,1.4,1.39,1.41,10260.42857142857,1.3920852594300595,15275.0,15092.0,15436.0,1.34,1.33,1.34,14711.42857142857,1.3666181947410982,1.3962196861626248,1.2035265085177518
2020-10-19,10800.0,10655.0,10941.0,1.42,1.41,1.43,11210.0,1.405137272486395,15342.0,15162.0,15508.0,1.29,1.28,1.29,15422.142857142857,1.3282666994546777,1.3666181947410982,1.1636152572140523
2020-10-20,12115.0,11963.0,12259.0,1.44,1.44,1.45,12158.42857142857,1.4138460815636156,15407.0,15225.0,15577.0,1.26,1.25,1.26,16024.57142857143,1.2863646654958665,1.3282666994546777,1.126456219466366
2020-10-21,13624.0,13464.0,13780.0,1.43,1.42,1.44,13062.857142857143,1.4125645037211194,16449.0,16273.0,16625.0,1.21,1.2,1.21,16504.85714285714,1.2449013764722576,1.2863646654958665,1.0940974509906736
2020-10-22,14768.0,14596.0,14921.0,1.39,1.38,1.4,13904.42857142857,1.3962196861626248,17090.0,16924.0,17269.0,1.17,1.16,1.17,16842.85714285714,1.2035265085177518,1.2449013764722576,1.0689543413124145
2020-10-23,15275.0,15092.0,15436.0,1.34,1.33,1.34,14711.42857142857,1.3666181947410982,17841.0,17668.0,18029.0,1.13,1.12,1.13,17071.14285714286,1.1636152572140523,1.2035265085177518,1.0513433554645844
2020-10-24,15342.0,15162.0,15508.0,1.29,1.28,1.29,15422.142857142857,1.3282666994546777,18130.0,17947.0,18316.0,1.09,1.08,1.09,17239.0,1.126456219466366,1.1636152572140523,1.039822214714794
2020-10-25,15407.0,15225.0,15577.0,1.26,1.25,1.26,16024.57142857143,1.2863646654958665,17641.0,17458.0,17817.0,1.06,1.05,1.06,17406.428571428572,1.0940974509906736,1.126456219466366,1.0305115895281673
2020-10-26,16449.0,16273.0,16625.0,1.21,1.2,1.21,16504.85714285714,1.2449013764722576,16940.0,16747.0,17107.0,1.04,1.04,1.04,17545.714285714286,1.0689543413124145,1.0940974509906736,1.021316486399525
2020-10-27,17090.0,16924.0,17269.0,1.17,1.16,1.17,16842.85714285714,1.2035265085177518,16582.0,16398.0,16745.0,1.04,1.03,1.04,17663.714285714286,1.0513433554645844,1.0689543413124145,1.0104379693405101
2020-10-28,17841.0,17668.0,18029.0,1.13,1.12,1.13,17071.14285714286,1.1636152572140523,17621.0,17446.0,17789.0,1.03,1.03,1.04,17736.285714285714,1.039822214714794,1.0513433554645844,0.9974556567471802
2020-10-29,18130.0,17947.0,18316.0,1.09,1.08,1.09,17239.0,1.126456219466366,18065.0,17884.0,18243.0,1.03,1.02,1.03,17705.571428571428,1.0305115895281673,1.039822214714794,0.985522455359219
2020-10-30,17641.0,17458.0,17817.0,1.06,1.05,1.06,17406.428571428572,1.0940974509906736,18667.0,18495.0,18842.0,1.02,1.01,1.02,17633.14285714286,1.021316486399525,1.0305115895281673,0.9755357240226102
2020-10-31,16940.0,16747.0,17107.0,1.04,1.04,1.04,17545.714285714286,1.0689543413124145,18638.0,18463.0,18815.0,0.99,0.99,1.0,17509.0,1.0104379693405101,1.021316486399525,0.969873787665355
2020-11-01,16582.0,16398.0,16745.0,1.04,1.03,1.04,17663.714285714286,1.0513433554645844,17426.0,17259.0,17602.0,0.98,0.98,0.99,17325.428571428572,0.9974556567471802,1.0104379693405101,0.9716660016449108
2020-11-02,17621.0,17446.0,17789.0,1.03,1.03,1.04,17736.285714285714,1.039822214714794,16433.0,16274.0,16604.0,0.97,0.97,0.98,17160.85714285714,0.985522455359219,0.9974556567471802,0.9800204760370866
2020-11-03,18065.0,17884.0,18243.0,1.03,1.02,1.03,17705.571428571428,1.0305115895281673,15713.0,15544.0,15890.0,0.96,0.95,0.96,17012.85714285714,0.9755357240226102,0.985522455359219,0.9948059959797704
2020-11-04,18667.0,18495.0,18842.0,1.02,1.01,1.02,17633.14285714286,1.021316486399525,16336.0,16166.0,16529.0,0.96,0.96,0.97,16958.428571428572,0.969873787665355,0.9755357240226102,1.0128838926300545
2020-11-05,18638.0,18463.0,18815.0,0.99,0.99,1.0,17509.0,1.0104379693405101,16913.0,16731.0,17101.0,0.97,0.96,0.97,17052.714285714286,0.9716660016449108,0.969873787665355,1.0282991196201923
